treatment,species,individual,year,abundance,notes id,order,notes_id,guild,bodylength_mm,stage
control,Tillia,TC13,2021,1,Hymenoptera,Hymenoptera,CHALCIDOIDEA,Predator,1.2,Adult
control,Tillia,TC13,2021,1,thysanoptera,thysanoptera,NA,Sucking,1.2,Adult
control,Tillia,TC14,2020,1,Araneae,Araneae,NA,Predator,1.3,Adult
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.3,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.3,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.3,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.3,Juvenile
no predators,Alnus,APC24,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,4.1,Juvenile
no predators,Alnus,APC28,2020,1,Gastropoda,Gastropoda,NA,Chewing,5,Adult
no predators,Tillia,TPC21,2021,1,Gastropoda,Gastropoda,NA,Chewing,5,NA
no predators,Alnus,APC24,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1,Juvenile
no predators,Alnus,APC24,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1,Juvenile
no predators,Alnus,APC24,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.7,Juvenile
no predators,Alnus,APC24,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,0.9,Juvenile
no predators,Alnus,APC24,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
no predators,Alnus,APC24,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.1,Juvenile
no predators,Alnus,APC24,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.6,Juvenile
no predators,Alnus,APC24,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.1,Juvenile
no predators,Alnus,APC24,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
no predators,Alnus,APC24,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.3,Juvenile
no predators,Alnus,APC24,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1,Juvenile
no predators,Alnus,APC24,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
no predators,Alnus,APC24,2020,1,Sternorrhyncha,Heteroptera,NA,Sucking,1.1,Juvenile
no predators,Alnus,APC24,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1,Juvenile
no predators,Alnus,APC24,2020,1,Heteroptera,Heteroptera,NA,Sucking,2.9,Juvenile
no predators+fertilised,Alnus,APF19,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,18.3,Juvenile
no predators+fertilised,Alnus,APF19,2020,1,Coleoptera,Coleoptera,Elateridae,Chewing,9,Adult
no predators+fertilised,Alnus,APF19,2020,1,Coleoptera,Coleoptera,Curculionidae,Chewing,6.4,Adult
no predators+fertilised,Alnus,APF19,2020,1,Araneae,Araneae,NA,Predator,1.1,Adult
no predators+fertilised,Alnus,APF19,2020,1,Araneae,Araneae,NA,Predator,1.5,Adult
no predators+fertilised,Alnus,APF19,2020,1,Coleoptera,Coleoptera,Cantharidae,Predator,4,Adult
control,Alnus,AC12,2020,1,Heteroptera,Heteroptera,NA,Sucking,1.3,Juvenile
control,Tillia,TC13,2020,1,Araneae,Araneae,NA,Predator,1.3,Adult
control,Tillia,TC14,2021,1,Hymenoptera,Hymenoptera,Braconidae,Predator,1.3,Adult
control,Tillia,TC12,2021,1,thysanoptera,thysanoptera,NA,Sucking,1.3,Adult
control,Tillia,TC14,2021,1,Hymenoptera,Hymenoptera,Cynipidae,Chewing,1.4,Adult
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.4,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.4,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.4,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.4,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.4,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.4,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.4,Juvenile
control,Alnus,AC8,2020,1,Araneae,Araneae,NA,Predator,1.4,Adult
control,Tillia,TC14,2020,1,Hymenoptera,Hymenoptera,Braconidae,Predator,1.4,Adult
control,Tillia,TC12,2021,1,thysanoptera,thysanoptera,NA,Sucking,1.4,Adult
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.5,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.5,Juvenile
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.5,Juvenile
control,Tillia,TC8,2021,1,thysanoptera,thysanoptera,NA,Sucking,1.5,Adult
control,Alnus,AC9,2021,1,araneae,araneae,NA,Predator,1.5,NA
control,Tillia,TC13,2021,1,Hymenoptera,Hymenoptera,Braconidae,Predator,1.5,Adult
control,Alnus,AC8,2021,1,araneae,araneae,NA,Predator,1.5,NA
control,Alnus,AC8,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.6,Adult
control,Alnus,AC13,2021,1,Coleoptera,Coleoptera,Latridiidae,No relationship,1.6,Adult
no predators+fertilised,Alnus,APF15,2020,1,Coleoptera,Coleoptera,Elateridae,Chewing,11.6,Adult
no predators+fertilised,Alnus,APF15,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,12,Juvenile
no predators+fertilised,Alnus,APF15,2020,1,Diptera,Diptera,Asilidae,Predator,10.2,Adult
no predators+fertilised,Alnus,APF15,2020,1,Coleoptera,Coleoptera,Anthribidae- curcullionidae,No relationship,4.1,Adult
no predators+fertilised,Alnus,APF15,2020,1,Heteroptera,Heteroptera,Reduviidae,Predator,2.2,Juvenile
no predators+fertilised,Alnus,APF15,2020,1,Psocoptera,Psocoptera,NA,No relationship,2,Adult
no predators+fertilised,Alnus,APF15,2020,1,Araneae,Araneae,NA,Predator,3,Adult
no predators+fertilised,Alnus,APF15,2020,1,Araneae,Araneae,NA,Predator,3.2,Adult
no predators+fertilised,Tillia,TPF21,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,16.9,Juvenile
no predators+fertilised,Tillia,TPF21,2020,1,Araneae,Araneae,NA,Predator,2.5,Adult
no predators+fertilised,Tillia,TPF21,2020,1,Auchenorrhyncha,Heteroptera,Aphidoidea,Sucking,1.3,Juvenile
no predators+fertilised,Tillia,TPF21,2020,1,Diptera,Diptera,Platypalpus1?,Predator,2.2,Adult
no predators+fertilised,Tillia,TPF21,2020,1,Diptera,Diptera,Platypalpus1?,Predator,2.8,Adult
no predators+fertilised,Tillia,TPF21,2020,1,Diptera,Diptera,Platypalpus1?,Predator,2.7,Adult
no predators+fertilised,Tillia,TPF21,2020,1,Diptera,Diptera,Platypalpus1?,Predator,2.4,Adult
no predators+fertilised,Tillia,TPF21,2020,1,Psocoptera,Psocoptera,NA,No relationship,2,Adult
no predators+fertilised,Tillia,TPF21,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.1,Adult
no predators,Tillia,TPC23,2020,1,Ixodoidea,Ixodoidea,NA,No relationship,1.1,NA
no predators,Tillia,TPC23,2020,1,Araneae,Araneae,NA,Predator,6.7,Adult
no predators,Tillia,TPC23,2020,1,Diptera,Diptera,Platypalpus1?,Predator,2.6,Adult
no predators,Tillia,TPC23,2020,1,Diptera,Diptera,Platypalpus1?,Predator,2.2,Adult
no predators,Tillia,TPC28,2021,1,Lepidoptera,Lepidoptera,NA,Chewing,6,Juvenile
no predators,Tillia,TPC23,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,5.2,Juvenile
no predators,Tillia,TPC23,2020,1,Heteroptera,Heteroptera,NA,Sucking,2.9,Juvenile
no predators,Tillia,TPC23,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,2.2,Adult
no predators,Tillia,TPC23,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,2.1,Adult
no predators,Tillia,TPC23,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,2,Adult
control,Tillia,TC8,2021,1,Hymenoptera,Hymenoptera,wasp,Predator,1.6,Adult
control,Tillia,TC8,2021,1,Hymenoptera,Hymenoptera,CHALCIDOIDEA,Predator,1.6,Adult
control,Tillia,TC12,2021,1,thysanoptera,thysanoptera,NA,Sucking,1.6,Adult
control,Alnus,AC8,2021,1,thysanoptera,thysanoptera,NA,Sucking,1.6,Adult
control,Alnus,AC13,2020,1,Hymenoptera,Hymenoptera,Figitidae,Predator,1.7,Adult
control,Tillia,TC11,2021,1,araneae,araneae,NA,Predator,1.7,NA
control,Alnus,AC14,2020,1,NA,NA,NA,No relationship,1.8,Juvenile
control,Alnus,AC14,2020,1,Araneae,Araneae,NA,Predator,1.8,Adult
control,Alnus,AC8,2020,1,Heteroptera,Heteroptera,NA,Sucking,1.8,Juvenile
control,Tillia,TC14,2020,1,Diptera,Diptera,Mycetophilidae,No relationship,1.8,Adult
control,Tillia,TC8,2020,1,Thysanoptera,Thysanoptera,NA,Sucking,1.8,Adult
control,Tillia,TC11,2020,1,Coleoptera,Coleoptera,Latridiidae,No relationship,1.8,Adult
control,Tillia,TC11,2021,1,auchenorrhyncha,Heteroptera,NA,Sucking,1.8,Juvenile
control,Tillia,TC8,2021,1,thysanoptera,thysanoptera,NA,Sucking,1.8,Adult
control,Tillia,TC8,2021,1,thysanoptera,thysanoptera,NA,Sucking,1.8,Adult
control,Alnus,AC14,2020,1,Hymenoptera,Hymenoptera,Chalcidoidea,Predator,1.9,Adult
control,Alnus,AC10,2020,1,Coleoptera,Coleoptera,NA,Chewing,1.9,Adult
control,Alnus,AC11,2020,1,Araneae,Araneae,NA,Predator,1.9,Adult
control,Tillia,TC14,2020,1,Hymenoptera,Hymenoptera,Braconidae,Predator,1.9,Adult
control,Alnus,AC14,2020,1,Heteroptera,Heteroptera,NA,Sucking,2,Juvenile
control,Tillia,TC9,2020,1,Coleoptera,Coleoptera,Elateridae,Chewing,2,Adult
control,Tillia,TC9,2021,1,araneae,araneae,NA,Chewing,2,NA
control,Tillia,TC9,2021,1,Hymenoptera,Hymenoptera,Cynipidae,Chewing,2,Adult
control,Alnus,AC13,2020,1,Araneae,Araneae,NA,Predator,2,Adult
control,Alnus,AC11,2020,1,Diptera,Diptera,NA,Predator,2,Adult
control,Tillia,TC13,2020,1,Araneae,Araneae,NA,Predator,2,Adult
control,Tillia,TC13,2020,1,Araneae,Araneae,NA,Predator,2,Adult
control,Tillia,TC13,2020,1,Thysanoptera,Thysanoptera,NA,Sucking,2,Adult
fertilised,Alnus,AF6,2020,1,Coleoptera,Coleoptera,Elateridae,Chewing,7.5,Adult
fertilised,Alnus,AF6,2020,1,Diptera,Diptera,Platypalpus1?,Predator,3,Adult
fertilised,Alnus,AF6,2020,1,Diptera,Diptera,Platypalpus1?,Predator,3.1,Adult
fertilised,Alnus,AF6,2020,1,Araneae,Araneae,NA,Predator,1.1,Adult
fertilised,Alnus,AF6,2020,1,Collembola,Collembola,Entomobryidae,No relationship,1.3,Adult
fertilised,Alnus,AF6,2020,1,Psocoptera,Psocoptera,NA,No relationship,2,Adult
fertilised,Tillia,TF6,2020,1,Diptera,Diptera,Platypalpus1?,Predator,3.2,Adult
fertilised,Tillia,TF6,2020,1,Coleoptera,Coleoptera,Elateridae,Chewing,2.1,Adult
fertilised,Tillia,TF6,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.1,Juvenile
fertilised,Tillia,TF6,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.6,Juvenile
fertilised,Tillia,TF6,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.9,Adult
fertilised,Tillia,TF6,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.4,Juvenile
fertilised,Tillia,TF6,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.6,Juvenile
fertilised,Tillia,TF6,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.3,Juvenile
fertilised,Tillia,TF6,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.6,Juvenile
fertilised,Tillia,TF6,2020,1,Araneae,Araneae,NA,Predator,1.3,Adult
fertilised,Tillia,TF6,2020,1,Heteroptera,Heteroptera,NA,Sucking,2,Juvenile
no predators,Alnus,APC23,2020,1,Hymenoptera,Hymenoptera,Ichneumonidae,Predator,13.5,Adult
no predators,Alnus,APC23,2020,1,Diptera,Diptera,Asilidae,Predator,5.3,Adult
no predators,Alnus,APC23,2021,1,Gastropoda,Gastropoda,NA,Chewing,6,NA
no predators,Alnus,APC23,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.4,Juvenile
no predators,Alnus,APC23,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.1,Juvenile
no predators,Alnus,APC23,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1,Juvenile
no predators,Alnus,APC23,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
no predators,Alnus,APC23,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.1,Juvenile
no predators,Alnus,APC23,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.1,Juvenile
no predators,Alnus,APC23,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1,Juvenile
no predators,Alnus,APC23,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.1,Juvenile
no predators,Alnus,APC23,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
no predators,Alnus,APC23,2020,1,Psocoptera,Psocoptera,NA,No relationship,2,Adult
no predators,Tillia,TPC26,2020,1,Araneae,Araneae,NA,Predator,4.9,Adult
no predators,Tillia,TPC26,2020,1,Diptera,Diptera,Platypalpus1?,Predator,3,Adult
no predators,Tillia,TPC26,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.2,Adult
no predators,Tillia,TPC26,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.5,Adult
no predators,Tillia,TPC26,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.1,Adult
no predators,Tillia,TPC26,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1,Juvenile
no predators,Tillia,TPC26,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,0.9,Juvenile
no predators,Tillia,TPC26,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.5,Juvenile
no predators,Tillia,TPC26,2020,1,Diptera,Diptera,Asilidae,Predator,5.7,Adult
no predators,Tillia,TPC26,2020,1,Diptera,Diptera,Cecidomyiidae,No relationship,1.1,Adult
no predators+fertilised,Tillia,TPF19,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,5.3,Juvenile
no predators+fertilised,Tillia,TPF19,2020,1,Tettigoniidae,ORTHOPTERA,NA,Predator,6.2,Juvenile
no predators+fertilised,Tillia,TPF19,2020,1,Heteroptera,Heteroptera,NA,Sucking,2.6,Juvenile
no predators+fertilised,Tillia,TPF19,2020,1,Coleoptera,Coleoptera,Elateridae,Chewing,7,Adult
no predators+fertilised,Tillia,TPF19,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,2.1,Adult
no predators+fertilised,Tillia,TPF19,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.8,Juvenile
no predators+fertilised,Tillia,TPF19,2020,1,Heteroptera,Heteroptera,Reduviidae,Predator,2.6,Juvenile
no predators+fertilised,Tillia,TPF19,2020,1,Heteroptera,Heteroptera,Reduviidae,Predator,2.4,Juvenile
no predators+fertilised,Tillia,TPF19,2020,1,Opiliones,Opiliones,NA,Predator,1.5,Adult
no predators+fertilised,Tillia,TPF19,2020,1,Collembola,Collembola,NA,No relationship,1,Adult
no predators+fertilised,Tillia,TPF19,2020,1,Collembola,Collembola,NA,No relationship,1.1,Adult
control,Alnus,AC13,2021,1,araneae,araneae,NA,Predator,2,NA
control,Alnus,AC13,2021,1,psocoptera,psocoptera,NA,No relationship,2,Adult
control,Tillia,TC8,2021,1,araneae,araneae,NA,Predator,2,NA
control,Tillia,TC12,2021,1,opiliones,opiliones,NA,Predator,2,NA
control,Tillia,TC13,2021,1,diptera,diptera,ochthera ,Predator,2,Adult
control,Tillia,TC9,2021,1,Hymenoptera,Hymenoptera,Platygastridae,Predator,2,Adult
control,Alnus,AC14,2021,1,araneae,araneae,NA,Predator,2,NA
control,Alnus,AC12,2021,1,araneae,araneae,NA,Predator,2,NA
control,Alnus,AC12,2021,1,Neuroptera,Neuroptera,SISYRIDAE,Predator,2,Adult
control,Alnus,AC8,2021,1,araneae,araneae,NA,Predator,2,NA
control,Alnus,AC8,2021,1,collembola,collembola,NA,No relationship,2,NA
control,Alnus,AC10,2020,1,Hymenoptera,Hymenoptera,Diapriidae,Predator,2.1,Adult
control,Tillia,TC12,2020,1,Hymenoptera,Hymenoptera,Diapriidae,Predator,2.1,Adult
control,Alnus,AC14,2020,1,Heteroptera,Heteroptera,NA,Sucking,2.1,Juvenile
control,Tillia,TC8,2021,1,Hymenoptera,Hymenoptera,Cynipidae,Chewing,2.1,Adult
control,Alnus,AC13,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.1,Adult
control,Alnus,AC12,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.1,Adult
fertilised,Alnus,AF1,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,24,Juvenile
fertilised,Alnus,AF1,2020,1,Lepidoptera,Lepidoptera,Geometridae,Chewing,13,Juvenile
fertilised,Alnus,AF1,2020,1,Araneae,Araneae,NA,Predator,6,Adult
fertilised,Alnus,AF1,2020,1,Araneae,Araneae,NA,Predator,2,Adult
fertilised,Alnus,AF1,2020,1,Heteroptera,Heteroptera,Reduvidae,Predator,2,Juvenile
fertilised,Alnus,AF1,2020,1,Coleoptera,Coleoptera,Elateridae,Chewing,3,Adult
control,Tillia,TC8,2020,1,Araneae,Araneae,NA,Predator,2.1,Adult
control,Tillia,TC8,2021,1,araneae,araneae,NA,Predator,2.1,NA
control,Tillia,TC8,2021,1,araneae,araneae,NA,Predator,2.1,NA
control,Tillia,TC9,2021,1,Hymenoptera,Hymenoptera,Platygastridae,Predator,2.1,Adult
control,Tillia,TC9,2021,1,Hymenoptera,Hymenoptera,NA,Predator,2.1,Adult
control,Alnus,AC8,2021,1,araneae,araneae,NA,Predator,2.1,NA
control,Alnus,AC13,2020,1,Araneae,Araneae,NA,Predator,2.2,Adult
control,Alnus,AC9,2020,1,Diptera,Diptera,Platypalpus1?,Predator,2.2,Adult
control,Alnus,AC11,2020,1,Diptera,Diptera,Cecidomyiidae,No relationship,2.2,Adult
no predators+fertilised,Tillia,TPF16,2020,1,Auchenorrhyncha,Heteroptera,NA,Sucking,3,Juvenile
no predators+fertilised,Tillia,TPF16,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,4,Adult
no predators+fertilised,Tillia,TPF16,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,5.2,Adult
no predators+fertilised,Tillia,TPF16,2020,1,Hymenoptera,Hymenoptera,Diapriidae,Predator,3,Adult
no predators+fertilised,Tillia,TPF16,2020,1,Hymenoptera,Hymenoptera,Diapriidae,Predator,3,Adult
no predators+fertilised,Tillia,TPF16,2020,1,Collembola,Collembola,Entomobryidae,No relationship,2.1,Adult
no predators+fertilised,Tillia,TPF16,2020,1,Hymenoptera,Hymenoptera,Chalcidoidea,Predator,1.5,Adult
no predators+fertilised,Tillia,TPF16,2020,1,Heteroptera,Heteroptera,NA,Sucking,2,Juvenile
no predators+fertilised,Tillia,TPF16,2020,1,Araneae,Araneae,NA,Predator,2.1,Adult
no predators+fertilised,Tillia,TPF16,2020,1,Thysanoptera,Thysanoptera,NA,Sucking,2,Adult
no predators+fertilised,Tillia,TPF16,2020,1,Araneae,Araneae,Tomisidae,Predator,9,Adult
control,Alnus,AC13,2021,1,araneae,araneae,NA,Predator,2.2,NA
control,Tillia,TC14,2021,1,diptera,diptera,platypalpus,Predator,2.2,Adult
control,Tillia,TC11,2021,1,araneae,araneae,NA,Predator,2.2,NA
control,Tillia,TC8,2021,1,araneae,araneae,NA,Predator,2.2,NA
control,Tillia,TC12,2021,1,araneae,araneae,NA,Predator,2.2,NA
control,Tillia,TC12,2021,1,Hymenoptera,Hymenoptera,CHALCIDOIDEA,Predator,2.2,Adult
control,Tillia,TC13,2021,1,diptera,diptera,platypalpus,Predator,2.2,Adult
control,Alnus,AC8,2021,1,araneae,araneae,NA,Predator,2.2,NA
control,Alnus,AC10,2021,1,araneae,araneae,NA,Predator,2.2,NA
control,Alnus,AC14,2020,1,Heteroptera,Heteroptera,NA,Sucking,2.3,Juvenile
control,Alnus,AC12,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.3,Adult
control,Tillia,TC13,2020,1,Heteroptera,Heteroptera,NA,Sucking,2.3,Juvenile
control,Tillia,TC12,2021,1,diptera,diptera,platypalpus,Predator,2.3,Adult
control,Alnus,AC10,2020,1,Diptera,Diptera,Platypalpus1?,Predator,2.4,Adult
control,Alnus,AC11,2020,1,Coleoptera,Coleoptera,Elateridae,Chewing,2.4,Adult
control,Alnus,AC13,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.4,Adult
control,Alnus,AC9,2020,1,Auchenorrhyncha,Heteroptera,NA,Sucking,2.4,Juvenile
control,Alnus,AC8,2020,1,Diptera,Diptera,Platypalpus1?,Predator,2.4,Adult
control,Alnus,AC13,2021,1,Coleoptera,Coleoptera,curculionidae,Chewing,2.5,Adult
control,Tillia,TC9,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.5,Adult
no predators,Alnus,APC26,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
no predators,Alnus,APC26,2020,1,Collembola,Collembola,Entomobryidae,No relationship,0.8,Adult
no predators,Alnus,APC26,2020,1,Psocoptera,Psocoptera,NA,No relationship,2.9,Adult
no predators,Alnus,APC26,2020,1,Psocoptera,Psocoptera,NA,No relationship,3.1,Adult
no predators,Alnus,APC25,2020,1,Coleoptera,Coleoptera,Curculionidae,Chewing,6.5,Adult
no predators,Alnus,APC25,2020,1,Coleoptera,Coleoptera,Curculionidae,Chewing,6.7,Adult
no predators,Alnus,APC26,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,4,Adult
no predators,Alnus,APC26,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.5,Adult
no predators,Alnus,APC26,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.5,Adult
no predators,Alnus,APC26,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.2,Adult
no predators,Alnus,APC26,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3,Adult
no predators,Alnus,APC26,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.1,Adult
no predators,Alnus,APC26,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3.2,Adult
no predators,Alnus,APC26,2020,1,Hymenoptera,Hymenoptera,Ant,Predator,3,Adult
no predators,Tillia,TPC28,2020,1,Coleoptera,Coleoptera,Carabidae,Predator,2.2,Adult
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.3,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.8,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.3,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.5,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.3,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.9,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,2,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,2,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.1,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.3,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.8,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.2,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.3,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.5,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,2,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.9,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,2,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1.1,Juvenile
no predators+fertilised,Alnus,APF21,2020,1,Sternorrhyncha,Heteroptera,Aphidoidea,Sucking,1,Juvenile
